"","id","deviceid","latitude","longitude","addr1","addr2","addr3","addr4"
"97",380,"135a0247f0b4f3b9",34.63904528,128.23308616,NA,NA,NA,NA
"98",381,"db3522b85a430ee3",34.8114996,126.3823347,NA,NA,NA,NA
"99",412,"d79b79d6be2b532c",36.7798597,127.1403141,NA,NA,NA,NA
"100",414,"d524f3a6f5a13c6d",37.4031111,126.7119285,NA,NA,NA,NA
"101",422,"7aaab41b41c77134",37.5066333,126.8918477,"대한민국","서울특별시","구로구","구로5동"
"102",425,"f0e5399616ac45fd",36.3859469,127.4841388,NA,NA,NA,NA
"103",429,"c761f9fccf93d038",37.48868315,126.97723842,NA,NA,NA,NA
"104",433,"e607204c7786a98f",34.8136586,126.3852443,NA,NA,NA,NA
"105",434,"eee171312b8f8463",36.7058672,127.5087527,NA,NA,NA,NA
"106",436,"272fc7c1d4cf3c65",33.5101418,126.5392106,NA,NA,NA,NA
"107",437,"f44ac43f0778bade",35.3337778,129.028547,NA,NA,NA,NA
"108",445,"e42ce76c9d7d797c",37.3424813,126.7862406,NA,NA,NA,NA
"109",447,"af19cbe0a6331f9f",35.110473,129.1091968,"대한민국","부산광역시","남구","용호4동"
"110",450,"4b9f4f0359260b48",37.6697323,126.7584049,NA,NA,NA,NA
"111",451,"f42cf0921c81fbf5",36.61775036,127.47680436,NA,NA,NA,NA
"112",454,"395ee94db6865d45",35.5794214,129.3396826,NA,NA,NA,NA
"113",455,"8e0f273caf744398",35.0499306,128.9688856,"대한민국","부산광역시","사하구","다대1동"
"114",456,"ff4f150baa1bf9af",35.1851064,126.8968223,"대한민국","광주광역시","북구","용봉동"
"115",460,"ecbd7e0d6cb3571e",36.0241993,129.343523,"대한민국","경상북도","포항시","남구"
"116",467,"641becfd7a093819",37.4867558,126.906905,"대한민국","서울특별시","동작구","신대방1동"
"117",468,"a6ed91e4b5df2884",35.1606131,129.1777168,NA,NA,NA,NA
"118",472,"4119aeba4db780a3",35.6378928,129.3394305,NA,NA,NA,NA
"119",474,"d0211b0ed7757088",37.3056532,126.8326596,NA,NA,NA,NA
"120",478,"d0802f613b9227ba",35.81143084,128.54654692,NA,NA,NA,NA
"121",481,"f57ca8f4aee01e8e",37.3924169,127.234641,"대한민국","경기도","광주시","장지동"
"122",487,"e53ac92b2b582f3f",37.5552221,127.0149253,NA,NA,NA,NA
"123",488,"9863f18f2f6c36e3",37.53672,126.6568013,NA,NA,NA,NA
"124",489,"46f47d2093940670",37.5038686,127.0840908,"대한민국","서울특별시","송파구","잠실동"
"125",490,"6c3805713c6af0a4",37.4550635,126.7085038,"대한민국","인천광역시","남동구","구월2동"
"126",493,"b383b53a66c4d2b",37.4504183,127.1727102,"대한민국","경기도","성남시","중원구"
"127",495,"d6e864db620a7158",36.8149615,127.1377541,NA,NA,NA,NA
"128",496,"a41182f801e5e37a",37.8784944,127.765244,"대한민국","강원도","춘천시","동면"
"129",501,"babe7010b0f4428d",36.9017833,126.6454017,NA,NA,NA,NA
"130",510,"ed4ef5237d9496bd",37.5183566,126.8712313,"","","",""
"131",511,"128740e151345194",37.6498753,127.074463,NA,NA,NA,NA
"132",517,"82187cb91d371876",36.615085,127.2831502,NA,NA,NA,NA
"133",521,"dccad14cbc81e6fb",37.7953734,127.1013544,NA,NA,NA,NA
"134",523,"bc4ece7cf132e7f",37.7006193,126.9005472,NA,NA,NA,NA
"135",524,"b1d4b305f072fc70",36.9662261,127.9380977,NA,NA,NA,NA
"136",527,"bc9094f15e2ba7ac",35.0989057,128.9184842,"대한민국","부산광역시","강서구","명지동"
"137",530,"86e569964cd3761f",37.7122522,127.1902982,NA,NA,NA,NA
"138",531,"369d5eb4ce884bdd",37.5559098544738,126.982481035916,NA,NA,NA,NA
"139",536,"d8ce75d39f19a1c1",37.5425152,126.8407958,NA,NA,NA,NA
"140",538,"db20853f810a4ad2",34.8714983,128.6900844,"대한민국","경상남도","거제시","아주동"
"141",539,"50a2dd5ed1d73f84",37.5535344,127.1348553,NA,NA,NA,NA
"142",541,"f848fbae1a476652",37.5394911,127.0842584,"대한민국","서울특별시","광진구","구의1동"
"143",545,"985c6cb4f3ba2520",36.8912229,126.6323756,"대한민국","충청남도","당진시","읍내동"
"144",550,"91ccd54cda389d1b",35.197189,126.875471,NA,NA,NA,NA
"145",553,"a5a8302a37d41852",36.8203644,127.1248842,NA,NA,NA,NA
"146",565,"22798116143a4ef8",37.6814126,127.0447618,NA,NA,NA,NA
"147",572,"bece26f7accc2f4b",37.289061,127.0121247,"대한민국","경기도","수원시","장안구"
"148",573,"e802884766b58049",35.8319536,128.7366508,"","","",""
"149",579,"e6f0f1678538a2c1",37.5198573,126.7970932,NA,NA,NA,NA
"150",587,"1e68fcffb7178d56",35.2011067,126.8387914,"대한민국","광주광역시","광산구","수완동"
"151",592,"4c43053ff718ec30",37.4163634,127.123785,NA,NA,NA,NA
"152",594,"467b49172ec87adf",35.2104556,129.0237276,"대한민국","부산광역시","북구","만덕3동"
"153",606,"28ff99788bc933a8",37.3076284,126.8122006,NA,NA,NA,NA
"154",607,"18d9abb885ade317",37.4836357,126.8162374,"대한민국","경기도","부천시","소사구"
"155",623,"b16939a4eec1520d",36.3195998,127.4010667,NA,NA,NA,NA
"156",631,"f53ddca449658d8",35.1999032,128.5696319,NA,NA,NA,NA
"157",633,"78a370747c4637f6",37.6122438,127.1336054,NA,NA,NA,NA
"158",637,"2139b9da0dc31683",35.3224656,129.1790464,NA,NA,NA,NA
"159",638,"8797b4bc19812d3f",35.8391785,127.1557988,"대한민국","전라북도","전주시","덕진구"
"160",660,"da1c2fd51872378c",37.6166201,126.8452531,"대한민국","경기도","고양시","덕양구"
"161",663,"285435e3ab5bfb78",36.0303902,129.3474129,"대한민국","경상북도","포항시","북구"
"162",674,"9bab528947352a45",36.3269446,127.4239429,"대한민국","대전광역시","중구","대흥동"
"163",679,"77004f07b640eadd",35.1368876,129.0645229,"대한민국","부산광역시","동구","범일5동"
"164",698,"d1595b526ad39852",35.5276454,129.2857531,"대한민국","울산광역시","남구","옥동"
"165",699,"9ee8fff31470c9f3",37.2942584,126.8527785,"대한민국","경기도","안산시","상록구"
"166",707,"31316659b61a544e",35.8706029,128.5711335,"대한민국","대구광역시","서구","비산4동"
"167",727,"b0faedb07d202047",36.630125,127.5175307,NA,NA,NA,NA
"168",732,"d374bb008c5127ee",36.6261734,127.4427059,NA,NA,NA,NA
"169",743,"7bf68819db802952",37.4407539,127.143181,"대한민국","경기도","성남시","수정구"
"170",744,"a73c919e026aa079",36.80174,127.1139898,NA,NA,NA,NA
"171",745,"97d1af4a8fca9491",35.8111018,128.5081084,"대한민국","대구광역시","달성군","화원읍"
"172",748,"3004a40e473bcd5a",37.5964684,127.0324463,NA,NA,NA,NA
"173",751,"2232ee08205e35a9",37.5118609,126.7081484,"대한민국","인천광역시","부평구","청천2동"
"174",755,"ffcdd250bf6d8ead",37.5062955,126.8909717,"대한민국","서울특별시","구로구","구로5동"
"175",763,"6c0946547768676e",37.610245,127.1558195,NA,NA,NA,NA
"176",765,"ed2b13e183c09106",37.4784648,126.9398718,NA,NA,NA,NA
"177",766,"a0c0102e27f2632b",37.5248613,129.1074072,"대한민국","강원도","동해시","천곡동"
"178",769,"11c736dae1edc971",37.5453522,127.0604348,NA,NA,NA,NA
"179",771,"7948568afdbb956a",35.8651076,127.1328378,NA,NA,NA,NA
"180",772,"63f6bd52bf69846d",37.4639858,127.036745,"대한민국","서울특별시","서초구","양재2동"
"181",773,"7eeb63068678c3b0",37.5705983,126.8481054,NA,NA,NA,NA
"182",777,"4190c3ba132c5708",37.5479117,126.8756132,NA,NA,NA,NA
"183",780,"918075f9dadb976b",36.8060159,126.7731667,"대한민국","충청남도","당진시","합덕읍"
"184",781,"5fc9fdd1e8dd14d8",36.5933623,127.2961599,"대한민국","충청남도","연기군","조치원읍"
"185",789,"edc1cc19fef2fbd7",37.4626791,127.1284033,NA,NA,NA,NA
"186",797,"899df0786d789da4",37.4271103,127.2547827,"","","",""
"187",799,"e3380fa62d123e3d",35.2673543,128.5275217,NA,NA,NA,NA
"188",802,"bed2b1a58e8b199f",35.0769319,128.9653383,"대한민국","부산광역시","사하구","하신중앙로"
"189",815,"44f565e2f45ecfd8",37.4577036,126.7332784,NA,NA,NA,NA
"190",818,"93b4afd237ad5ecd",35.8053842,127.1297123,"대한민국","전라북도","전주시","완산구"
"191",821,"d1d9cdadf3360754",35.5412307,129.4322427,NA,NA,NA,NA
"192",830,"8a9757f36b202a38",37.5587358,126.9115838,NA,NA,NA,NA
"193",845,"f1ec8010654cc245",37.3582741,126.9471342,NA,NA,NA,NA
"194",846,"2339a168edc67ffb",36.7832311933005,127.151955843605,"대한민국","충청남도","천안시","동남구"
"195",851,"98c3ca1238cdc195",37.7399464,127.1991259,NA,NA,NA,NA
"196",854,"aa5c3697b91338c0",36.7890198,127.5718736,"대한민국","충청북도","증평군","증평읍"
"197",855,"72e056000a88f2a6",34.6613873,127.3518062,NA,NA,NA,NA
"198",860,"96de541d3631a334",36.8813067,126.6324653,NA,NA,NA,NA
"199",866,"d768fc6ec39595bb",37.5570594384042,127.154529097393,NA,NA,NA,NA
"200",875,"7ee8c9fa1d33e7d",37.5583784,126.7571615,"대한민국","인천광역시","계양구","동양로"
"201",881,"309bfee81b26f058",37.0157894,127.2607888,NA,NA,NA,NA
"202",884,"e40861ed871655cf",37.8060661,126.9734578,"대한민국","경기도","양주시","백석읍"
"203",891,"65d5d470e513bfb0",35.175641,126.8225706,"대한민국","광주광역시","광산구","운남동"
"204",892,"c391ff29a931384a",35.8838413,128.8222614,"대한민국","경상북도","경산시","진량읍"
"205",897,"e9c6fe04b86301da",36.0793607,128.4117584,NA,NA,NA,NA
"206",898,"7a327306dda47faf",37.5256483,126.8851835,"대한민국","서울특별시","영등포구","양평1동"
"207",900,"5f2b768b2adab13a",36.1238062,128.3386362,NA,NA,NA,NA
"208",903,"a1a1e76d9d8f246f",37.3222116,127.4349718,NA,NA,NA,NA
"209",911,"d372eadec9775930",36.3064646,127.3871214,NA,NA,NA,NA
"210",912,"2ef0ee950b78b942",35.9327508942471,128.943651281301,NA,NA,NA,NA
"211",914,"2b22448dc9044df5",37.4896318,127.4898825,NA,NA,NA,NA
"212",920,"97d940da01c8b477",37.5104591,126.9505874,NA,NA,NA,NA
"213",923,"dd9626ee542ea4ab",37.4848802,126.7702427,NA,NA,NA,NA
"214",930,"4305626d1e69f028",35.1953307,128.8023433,NA,NA,NA,NA
"215",931,"e2ff4666c0d857e0",37.3908921,126.9617052,"대한민국","경기도","안양시","동안구"
"216",932,"d21e2b523a4da7ca",37.4951874,126.7335452,"대한민국","인천광역시","부평구","부개2동"
"217",933,"2d13ae33df09576f",37.5057616,126.7518281,NA,NA,NA,NA
"218",935,"72f7329c1e9d3f0d",35.2545194,129.085981,NA,NA,NA,NA
"219",936,"3588d25e374ccfc1",37.3544661,126.9345572,"대한민국","경기도","군포시","재궁동"
"220",938,"d7fec45e9a9f4680",37.8675174,127.7159885,NA,NA,NA,NA
"221",941,"4b6e41db215f6b7d",35.2127336,126.8344892,"","","",""
"222",946,"a3fdee31aa21449f",37.3064699,126.9685321,NA,NA,NA,NA
"223",950,"3910aaf42dcb0d3c",36.986991,127.1140107,NA,NA,NA,NA
"224",952,"4151ffe59b50cb43",37.2410096,127.0633795,NA,NA,NA,NA
"225",954,"727ee26e0b61853c",35.5231236,129.4262133,"대한민국","울산광역시","동구","남목2동"
"226",956,"bdbc63fe30021666",35.6243079,129.2224494,NA,NA,NA,NA
"227",962,"e7b6bed6fc6b71c5",37.5347436,126.8611471,NA,NA,NA,NA
"228",964,"c7774c60e071880e",37.5289758,126.6612992,NA,NA,NA,NA
"229",966,"58ffdd0bce1187c0",35.8436305,128.5463051,NA,NA,NA,NA
"230",974,"d600304c745cb3b",37.5475343,126.8489163,"대한민국","서울특별시","강서구","까치산로"
"231",975,"6046083f49d7e38d",37.487501,126.7089066,"대한민국","인천광역시","부평구","부평3동"
"232",983,"22e01ae057863267",37.3233753,127.081029,NA,NA,NA,NA
"233",990,"4d32a2ca58c33b83",36.0363668,129.3526928,NA,NA,NA,NA
"234",992,"e335d6b0b188e8ca",37.6268471,126.8158074,NA,NA,NA,NA
"235",996,"ebfd188eebbda6e9",37.7273983,127.0588327,NA,NA,NA,NA
"236",1003,"9e74e1ae3a9c4ce",37.27564922,127.06967197,NA,NA,NA,NA
"237",1009,"7162295803b4287a",36.772207,127.052235,"대한민국","충청남도","아산시","배방읍"
"238",1010,"12f0b9a2980b728f",37.1260294,126.9146298,NA,NA,NA,NA
"239",1011,"a142b9181e250ca3",35.27946,128.4144891,NA,NA,NA,NA
"240",1015,"fd5e5b4aa38787d9",37.4809507,127.0904223,NA,NA,NA,NA
"241",1016,"e0a98ea2c1b97c6b",37.4892929,127.476029,NA,NA,NA,NA
"242",1017,"b44f8203cce0d109",37.5587837,126.8649688,"대한민국","서울특별시","강서구","가양3동"
"243",1018,"4f173eb60151dbd9",37.539204,127.1004324,"대한민국","서울특별시","광진구","광장동"
"244",1025,"509cfa649a35664",37.1288275,128.2258685,NA,NA,NA,NA
"245",1029,"fc2efe9283b011fa",37.5461219,127.0232177,NA,NA,NA,NA
"246",1032,"f0b615038afea8ae",37.4135216,126.8814436,"대한민국","경기도","광명시","일직동"
"247",1033,"3c449739a9a7b311",37.4647982,127.1465037,NA,NA,NA,NA
"248",1034,"af63ff141a0a462e",35.8428239,128.5394644,"대한민국","대구광역시","달서구","본리동"
"249",1036,"4df20772eb645791",35.8689834,127.1244772,"대한민국","전라북도","전주시","덕진구"
"250",1046,"89688330775021eb",37.4766651336192,127.144211069304,NA,NA,NA,NA
"251",1056,"8b261844b8afa10b",37.5238043,126.8436451,NA,NA,NA,NA
"252",1060,"93ad67fce67586c4",35.2122902,129.0143232,NA,NA,NA,NA
"253",1062,"c26a34831ad59579",35.2339064,129.0136477,NA,NA,NA,NA
"254",1067,"aabce6be56a19276",37.3573695,127.939918,NA,NA,NA,NA
"255",1068,"618b2705eb25f697",37.4957503,126.9375059,NA,NA,NA,NA
"256",1075,"bef7305a0812be4d",37.3213019,126.8481961,"대한민국","경기도","안산시","상록구"
"257",1076,"17c6daa3e88e9608",35.1616531,129.1729309,"대한민국","부산광역시","해운대구","중2동"
"258",1079,"9be9b824044f46fe",35.94901,128.5779412,"대한민국","대구광역시","북구","국우동"
"259",1097,"adfaf69f4ca2258e",35.5606792,129.2269877,NA,NA,NA,NA
"260",1102,"9314aa6cb03eee8e",35.8929095,128.6168117,NA,NA,NA,NA
"261",1106,"4e0f43127826d5d9",37.1307178,126.9235953,NA,NA,NA,NA
"262",1107,"993731c747bf6f5f",35.5524353,129.255415,NA,NA,NA,NA
"263",1108,"df34d3fffca087dc",36.7872756,127.1109689,"대한민국","충청남도","아산시","배방읍"
"264",1110,"bade3b4cf3b23432",37.5615594,126.9258483,"대한민국","서울특별시","마포구","동교로38길"
"265",1113,"3fe315ce7b624b98",37.3467141,127.1179358,NA,NA,NA,NA
"266",1115,"792c93ed35a1b36b",35.2132323,128.6986343,NA,NA,NA,NA
"267",1117,"2cc8a473b2ead002",37.6720173,126.7586348,"대한민국","경기도","고양시","일산서구"
"268",1124,"82b31471b58a56ae",37.4928278,126.7483213,"대한민국","경기도","부천시","원미구"
"269",1129,"e3dca896051a7064",36.07602894,129.38389681,NA,NA,NA,NA
"270",1132,"4b0558098b60b8bd",35.974842659775,126.718319847319,"대한민국","전라북도","군산시","동흥남동"
"271",1134,"6a85614ed1dd0571",35.8290091,127.1632347,NA,NA,NA,NA
"272",1141,"ec389fb3547ded50",35.859902,127.1497862,NA,NA,NA,NA
"273",1142,"8ec6314831545ea",36.0830144250368,129.395434664595,NA,NA,NA,NA
"274",1143,"8ad23443bab31d84",35.2838253,128.4059648,"대한민국","경상남도","함안군","가야읍"
"275",1154,"cd146c2b80b1790",37.51638406,126.8292255,NA,NA,NA,NA
"276",1156,"53db9167be1533ff",36.5628492,128.6919306,"","","",""
"277",1159,"304bc2ce3a6e2a2e",37.5186811,126.6156345,"대한민국","인천광역시","서구","원창동"
"278",1175,"c13cea06f840dcb8",37.6514173,127.3186594,NA,NA,NA,NA
"279",1178,"66b38487cbeaf21b",35.1703241,129.1420828,NA,NA,NA,NA
"280",1181,"b7e8c03ed2392d81",35.0650039,128.1101162,"대한민국","경상남도","사천시","정동면"
"281",1190,"6e507d6429034de4",37.6460948,127.6807293,NA,NA,NA,NA
"282",1198,"7d45e388bc772aa4",37.509199,126.6807204,NA,NA,NA,NA
"283",1205,"1d7f48967ac8da09",35.9466928,128.5679973,NA,NA,NA,NA
"284",1206,"99edc47026cbec78",35.8786366,128.7102502,NA,NA,NA,NA
"285",1219,"839fc4371a526cfe",37.542772,127.2247884,"대한민국","경기도","하남시","창우동"
"286",1226,"1180b539ff3e9f54",35.20423735,129.11935666,"대한민국","부산광역시","해운대구","반여1동"
"287",1237,"6dcfb287c319a88c",36.5018453,127.2509361,NA,NA,NA,NA
"288",1239,"eb3e9920ec58ec4c",37.5091032,126.6803414,"대한민국","인천광역시","서구","석남3동"
"289",1244,"883c18df344a86f4",35.8325763,127.1641215,NA,NA,NA,NA
"290",1245,"f813177759891900",37.60693254,126.91322487,"대한민국","서울특별시","은평구","역촌동"
"291",1247,"d2ec80c0561236ce",35.1943294,129.0963696,NA,NA,NA,NA
"292",1248,"f0b3fcb9ef7f2dce",35.6248313,129.4349386,NA,NA,NA,NA
"293",1249,"3b557093ef08bd59",37.6001452,126.9338493,NA,NA,NA,NA
"294",1252,"44063e3cfdabc625",37.550293,126.8239648,NA,NA,NA,NA
"295",1255,"559e152b89dfee05",37.592537,127.153873,"대한민국","경기도","구리시","토평동"
"296",1262,"31cdccc94666dcfa",36.3421467342957,127.43071780417,NA,NA,NA,NA
"297",1263,"3f5c1e2ef73a40ad",35.64542718,129.3547539,NA,NA,NA,NA
"298",1264,"c17eee7615a9872f",35.2342506,128.5569906,"대한민국","경상남도","창원시","마산회원구"
"299",1265,"ecdb2fc44b0bbe9e",36.61057854,127.47533841,NA,NA,NA,NA
"300",1270,"e92ac42d6d0cc821",35.8660816,127.13119,NA,NA,NA,NA
"301",1272,"12ff67d2781289da",37.6502043,126.6263881,"대한민국","경기도","김포시","양촌읍"
"302",1278,"63e36e38675ade51",37.6312595,127.0380082,NA,NA,NA,NA
"303",1281,"7d938cf930a2a7e7",37.2707993,127.0392372,"대한민국","경기도","수원시","영통구"
"304",1284,"ccb44113836a672a",37.4877521,126.7186282,NA,NA,NA,NA
"305",1291,"827abadf2ecd6188",33.4677951,126.54549,NA,NA,NA,NA
"306",1292,"d38526c5103709c8",37.672253,127.0512288,"대한민국","서울특별시","노원구","상계1동"
"307",1294,"ff1581affeed1c16",36.0314184,129.3397356,NA,NA,NA,NA
"308",1295,"ca9696669bc2c5ae",35.3265807,129.1762707,"대한민국","부산광역시","기장군","정관면"
"309",1304,"33ce6d809259527f",35.8260526,127.1672269,"대한민국","전라북도","전주시","덕진구"
"310",1306,"9c02818728895187",37.5276861,126.7271427,"대한민국","인천광역시","계양구","작전1동"
"311",1307,"722b41325baa8474",35.2033374,129.0348222,NA,NA,NA,NA
"312",1309,"b6e0a287ff36841",36.1567641,128.3104378,"대한민국","경상북도","구미시","봉곡동"
